Herat  , 34.333333 , 62.2
Kabul  , 34.516667 , 69.2
Algiers  , 36.833333 , 3
Pago Pago  , -14.266667 , -170.717
Andorra la Vella  , 42.5 , 1.5
Namibe  , -15.166667 , 12.15
The Valley  , 18.216667 , -63.05
Buenos Aires  , -34.666667 , -58.5
Cordoba  , 18.916667 , -96.9167
Yerevan  , 40.166667 , 44.5167
Oranjestad  , 12.516667 , -70.0333
Adelaide  , -34.916667 , 138.583
Alice Springs  , -23.7 , 133.883
Brisbane  , -27.466667 , 153.033
Canberra  , -35.283333 , 149.133
Coober Pedy  , -28.933333 , 134.75
Darwin  , -12.466667 , 130.833
Derby  , -17.316667 , 123.633
Newman  , -23.333333 , 119.567
Perth  , -31.933333 , 115.833
Townsville  , -19.216667 , 146.8
Vienna  , 48.2 , 16.3667
Baku  , 40.366667 , 49.8833
Nassau  , 25.05 , -77.4833
Al-Manamah  , 26.216667 , 50.5667
Dhaka  , 23.716667 , 90.4167
Bridgetown  , 13.1 , -59.6167
Minsk  , 53.85 , 27.5
Brussels  , 50.833333 , 4.33333
Belmopan  , 17.216667 , -88.8
Porto-Novo  , 6.483333 , 2.61667
Hamilton  , 32.3 , -64.8
Thimphu  , 27.533333 , 89.7167
La Paz  , -16.5 , -68.1667
Sarajevo  , 43.85 , 18.3833
Gaborone  , -24.75 , 25.9167
Belem  , -1.45 , -48.4833
Brasilia  , -15.783333 , -47.9167
Cuiaba  , -7.25 , -58.4167
Manaus  , -3.1 , -60
Porto Velho  , -8.75 , -63.9
Recife  , -8.1 , -34.8833
Rio de Janeiro  , -22.9 , -43.2333
Santarem  , -2.433333 , -54.6833
Sao Paulo  , -23.533333 , -46.6167
Road Town  , 18.466667 , -64.65
Bandar Seri Begawan  , 4.883333 , 114.933
Sofia  , 42.666667 , 23.3
Ouagadougou  , 12.366667 , -1.51667
Bujumbura  , -3.366667 , 29.3167
Phnom Penh  , 11.55 , 104.917
Yaound  , 3.85 , 11.5833
Churchill  , 58.75 , -94
Kugluktuk Nunavut  , 67.816667 , -115.35
Ottawa  , 45.416667 , -75.7167
Peace River  , 56.25 , -117.3
Quebec  , 46.833333 , -71.25
Saskatoon  , 52.166667 , -101.533
Toronto  , 43.65 , -79.3833
Vancouver  , 49.266667 , -123.117
Whitehorse  , 60.716667 , -135.05
Winnipeg  , 49.883333 , -97.15
Praia  , 14.916667 , -23.5167
Georgetown  , 19.333333 , -81.3833
Bangui  , 4.383333 , 18.6167
NDjamena  , 12.166667 , 14.9833
Antofagasta  , -23.666667 , -70.3833
Easter Island  , -27.0833333 , -109.333
Santiago  , -33.45 , -70.6667
Beijing  , 39.916667 , 116.433
Harbin  , 45.75 , 126.683
Kunming  , 25.0666667 , 102.683
Shanghai  , 31.1 , 121.367
Urumqi  , 43.716667 , 87.6333
Wuhan  , 30.583333 , 108.9
Taipei  , 25.0833333 , 121.533
